"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Fayette",1.53,66,1.06,66,2018
"Forest",-0.27,21,0.69,65,2018
"Franklin",-0.87,9,-0.21,16,2018
"Fulton",1.31,65,0.11,41,2018
"Greene",1.02,63,0.6,63,2018
"Huntingdon",-0.04,30,0.19,47,2018
"Indiana",0.34,46,0.67,64,2018
"Jefferson",0.47,52,0.2,49,2018
"Juniata",0.2,39,-0.11,22,2018
"Lackawanna",0.48,54,0.1,40,2018
"Lancaster",-0.88,8,-0.42,10,2018
"Lawrence",0.96,62,0.38,62,2018
"Lebanon",-0.44,15,-0.44,9,2018
"Lehigh",-0.33,18,-0.03,27,2018
"Luzerne",0.89,60,0.27,56,2018
"Lycoming",0.27,41,0.05,35,2018
"McKean",0.39,51,0.35,60,2018
"Mercer",0.33,44,0.14,44,2018
"Mifflin",0.5,55,0.06,37,2018
"Monroe",0.56,57,0.21,50,2018
"Montgomery",-1.58,4,-1.14,1,2018
"Montour",-0.06,28,-0.68,6,2018
"Northampton",-0.78,11,-0.17,18,2018
"Northumberland",0.37,50,0.18,46,2018
"Perry",-0.09,27,-0.15,20,2018
"Philadelphia",2.54,67,1.38,67,2018
"Pike",-0.7,12,-0.23,15,2018
"Potter",-0.23,23,0.27,55,2018
"Schuylkill",0.73,59,0.22,51,2018
"Snyder",-0.65,13,-0.21,17,2018
"Somerset",0.11,34,0.32,58,2018
"Sullivan",0.03,33,0.18,45,2018
"Susquehanna",0.9,61,0.36,61,2018
"Tioga",-0.4,16,0.09,39,2018
"Union",-1.68,3,-0.59,8,2018
"Venango",0.35,48,0.11,42,2018
"Warren",0.2,38,-0.11,21,2018
"Washington",-0.27,22,-0.1,23,2018
"Wayne",-0.14,25,0.01,31,2018
"Westmoreland",-0.35,17,-0.17,19,2018
"Wyoming",-0.04,29,-0.02,28,2018
"York",-0.32,19,-0.27,13,2018
"Adams",-0.66,12,-0.54,9,2019
"Allegheny",0.12,34,-0.03,25,2019
"Armstrong",0.62,59,0.27,49,2019
"Beaver",0.37,48,0.16,45,2019
"Bedford",-0.58,14,-0.09,23,2019
"Berks",0.02,32,-0.02,29,2019
"Blair",0.41,51,0.07,37,2019
"Bradford",-0.16,24,0.14,43,2019
"Bucks",-1.01,6,-1.01,2,2019
"Butler",-1.01,7,-0.67,7,2019
"Cambria",1.5,65,0.35,56,2019
"Cameron",-0.38,19,0.1,41,2019
"Carbon",0.45,52,0.3,51,2019
"Centre",-1.88,2,-0.77,5,2019
"Chester",-1.83,3,-0.95,3,2019
"Clarion",0.18,37,0.17,46,2019
"Clearfield",0.16,35,0.27,48,2019
"Clinton",-0.67,11,0.07,38,2019
"Columbia",0.33,45,0.02,30,2019
"Crawford",0.25,41,0.09,40,2019
"Cumberland",-1.03,5,-0.91,4,2019
